block,timestamp,amount0,amount1,sqrtPriceX96,liquidity,tick
25587957,1784719511,4943000,-2562466064293124,1804354889997094857466404977015758,15067107704576554831,200677
25587959,1784719535,3000000,-1555209160150611,1804354881819256980415926876443169,15067107704576554831,200677
25587961,1784719559,-1541657,800000000000000,1804354886023835588901169189857796,15067107704576554831,200677
25587964,1784719595,9949173259,-5157604273626097515,1804327765522835188255806283657499,15067107704576554831,200677
25587965,1784719607,-16633472453,8631429759414557696,1804373129928994034969351631325440,15067107704576554831,200677
25587967,1784719631,-306894342,159257472687646960,1804373966942197664848267559997005,15067107704576554831,200677
25587968,1784719643,100000000,-51841393933453405,1804373694341877546470578526928867,15067107704576554831,200677
25587969,1784719655,-828430144,429900000000000000,1804375953777307281227666698114394,15067107704576554831,200677
25587971,1784719679,-85881099062,44572399773249921024,1804609080708982477631466028517105,15454988668241152413,200680
25587972,1784719691,-37306576,19364653570927006,1804609179929942137142730619648057,15454988668241152413,200680
25587974,1784719715,-6208172618,3222493991239885824,1804625691402514405004471973105851,15454988668241152413,200680
25587976,1784719739,-43427964,22542485937368536,1804625806906108601741292081048571,15454988668241152413,200680
25587982,1784719811,-8564570424,4445733528932682958,1804648586026908463250502742710763,15454994420955447014,200680
25587983,1784719823,-481610975,250000000000000000,1804649866980920417395075665428573,15454994420955447014,200680
25587984,1784719835,-66776822309,34666694588177772544,1804827492746976078792766980014715,15454994420955447014,200682
25587985,1784719847,-3947786750,2049678011700000000,1804837994920065284029086190342313,15454994420955447014,200683
25587992,1784719931,92539,-47997813404925,1804837994674010289947780024429121,15454994420955447014,200683
25587992,1784719931,-69911741,36298163011543809,1804838180659120434758086276046140,15454994420955447014,200683
25587994,1784719955,-222021020,115273322294453512,1804838771298419092211541503052741,15454994420955447014,200683
25587995,1784719967,-488886200,253830000000000000,1804840071876646509493609282946588,15454994420955447014,200683
25587996,1784719979,15000000,-7780228104889010,1804840031992246690080027863362614,15454994420955447014,200683
25587999,1784720015,-76730824,39838720000000000,1804840236118519550551301784113559,15454994420955447014,200683
25588003,1784720063,11453037,-5940483552598027,1804840205665348006186909151827002,15454994420955447014,200683
25588003,1784720063,-39580602,20550291129124328,1804840310961259480896807354635784,15454994420955447014,200683
25588005,1784720087,962463667,-499211893482044323,1804837751811773653784243433167951,15454994420955447014,200683
25588005,1784720087,856739377,-444373491619353987,1804835473784732549700477393095529,15454994420955447014,200682
25588007,1784720111,-365588731,189813154328601173,1804836446352418785271977855865693,15454994420955447014,200683
25588007,1784720111,819587962,-425103207970141055,1804834267112159680002254414004890,15454994420955447014,200682
25588009,1784720135,-219537433,113983348990174613,1804834851141872419736506679876879,15454994420955447014,200682
25588015,1784720207,23826027551,-12357623621179207820,1804771501276716766668692439400969,15454994420955447014,200682
25588019,1784720255,-75293989007,39094079237112684544,1804971812147286497536141172509254,15454994420955447014,200684
25588021,1784720279,-4236661,2200000000000000,1804971823419681802732613414229170,15454994420955447014,200684
25588022,1784720291,-357054489,185410196624968400,1804972773427422698572879723125816,15454994420955447014,200684
25588026,1784720339,2891963819,-1500223438650159065,1804965082713135288612967103574852,15454994420955447014,200684
25588032,1784720411,-130518163110,67787584743227251873,1805312413827685362650828840931834,15454994420955447014,200688
25588032,1784720411,239308,-124189522360481,1805312413191042773715051236094077,15454994420955447014,200688
25588032,1784720411,134576,-69838304030553,1805312412833025141955127334937869,15454994420955447014,200688
25588032,1784720411,17720,-9195781681443,1805312412785884077671389848913276,15454994420955447014,200688
25588033,1784720423,64872977175,-33662834410635071461,1805139844330488175613928865924947,15454994420955447014,200686
25588035,1784720447,-33963720504,17640737712064432890,1805230232225472574464130841673366,15454994420955447014,200687
25588036,1784720459,-11989998734,6228020657657612288,1805262143457664413697868657787747,15454994420955447014,200687
25588036,1784720459,-13448533555,6985896163336831210,1805297937904534499217841548696064,15454994420955447014,200688
25588036,1784720459,-1129319783,586642422451205929,1805300943752392984699321560295782,15454994420955447014,200688
25588036,1784720459,-183151491,95141026009731875,1805301431237508859097977021038807,15454994420955447014,200688
25588036,1784720459,-3349096053,1739751561103359557,1805310345404476854436057385264728,15454994420955447014,200688
25588038,1784720483,-227635594702,118289917505425276928,1805916439621961655847198064447822,15455048131772993839,200694
25588038,1784720483,-8302853348,4316045578906916542,1805938554168707174654426563218455,15455048131772993839,200695
25588038,1784720483,-7440585753,3867905595316000000,1805958372536593023664052512438336,15455048131772993839,200695
25588040,1784720507,-190681944,99125000000000000,1805958880433093668294647476200152,15455048131772993839,200695
25588040,1784720507,-4999852572,2599166799082734513,1805972198039367018372925477250008,15455048131772993839,200695
25588040,1784720507,-487053001,253195912686033759,1805973495364139081525277092906864,15455048131772993839,200695
25588040,1784720507,-29310,15237219600690,1805973495442211520513866184288039,15455048131772993839,200695
25588045,1784720567,143459152,-74503133984055005,1805973113512219663959181761636409,15455048131772993839,200695
25588045,1784720567,8598358,-4465413368800532,1805973090620896837900082437621026,15455048131772993839,200695
25588045,1784720567,-138322223551,71921900594154536960,1806341603928654538453442082265265,15455048131772993839,200699
25588047,1784720591,-102666548183,53401388164771053568,1806615231585866977974693430707095,15454434559680524401,200702
25588048,1784720603,-3792937580,1973183590884269099,1806625342181874263025900753905888,15454434559680524401,200702
25588049,1784720615,-153325330089,79782271975881504775,1807034146676406869793404763504640,15454434559680524401,200707
25588052,1784720651,-5766656982,3001363300246996194,1807049525666958017645766922965370,15454434559680524401,200707
25588054,1784720675,-457276116,238000000000000000,1807050745179354558235819055067379,15454434559680524401,200707
25588061,1784720759,-10993194257,5721760555573674000,1807080063489974554324774046165639,15454434559680524401,200707
25588066,1784720819,56516,-29385934224400,1807080063339325464106188292799919,15454415084658862441,200707
25588067,1784720831,83957816171,-43650153020000292454,1806856287712859078968954211971269,15454415084658862441,200705
25588069,1784720855,327044150088,-169929116827151790121,1805985149257697131839553021071538,15455028656751331879,200695
25588069,1784720855,2364511206,-1227981554113711752,1805978854172498998620157387831263,15455028656751331879,200695
25588071,1784720879,87048151238,-45201492834870947789,1805747134691432614744380848639140,15455028656751331879,200693
25588071,1784720879,124262,-64516797306997,1805747134360695777209905103072278,15455028656751331879,200693
25588072,1784720891,-312234,162275330150452,1805747135192162876139400195763762,15455028656751331879,200693
25588075,1784720927,74207746027,-38524697733465967697,1805549643419055964417984452902704,15455028656751331879,200690
25588078,1784720963,2297680145,-1192698296955461134,1805543529208814083402856299892529,15455028656751331879,200690
25588096,1784721179,-423714203,220164480000000000,1805544657288610952094207702673743,15455028656751331879,200690
25588096,1784721179,19986309,-10374631178110406,1805544604104434897796117319207070,15455028656751331879,200690
25588100,1784721227,17825382261,-9252679455692986871,1805497171465655039864823974451615,15455028656751331879,200690
25588102,1784721251,61000000,-31662634796447336,1805497009151340974397680090643384,15455028656751331879,200690
25588103,1784721263,183962,-95487221234607,1805497008661838350362997904101144,15455028656751331879,200690
25588103,1784721263,4085000000,-2120345455181943657,1805486138990999134411928736564037,15455028656751331879,200690
25588105,1784721287,85920,-44597037906470,1805486138762378311676337879067558,15455028656751331879,200690
25588107,1784721311,10120470,-5253062773814122,1805486111833246028277433637379986,15455028656751331879,200690
25588117,1784721431,44031953358,-22853446546560630244,1805368956316340978230978608374467,15454974945933785054,200688
25588125,1784721527,2098593057,-1089136870087169602,1805363372980667810638988251675085,15454974945933785054,200688
25588127,1784721551,192399856,-99852169416525299,1805362861099934673912761659051796,15454974945933785054,200688
25588129,1784721575,-1162142,603734954397600,1805362864193365419951743921787141,15454974945933785054,200688
25588131,1784721599,63741075000,-33077389833403016093,1805193296735220945451966710021185,15454974945933785054,200686
25588131,1784721599,269332751,-139752649114528672,1805192580309239371280617772941266,15454974945933785054,200686
25588138,1784721683,-10088231852,5239943783936951296,1805219428851121330025131500672891,15454974945933785054,200687
25588140,1784721707,-7003758077,3637924257958822573,1805238068929303584120871490890268,15454974945933785054,200687
25588140,1784721707,-18553038201,9637267613895610268,1805287448577984646045436222847346,15454974945933785054,200688
25588142,1784721731,-17696566661,9192869755258926080,1805334551210916715468998837707460,15454974945933785054,200688
25588142,1784721731,-8832662951,4588500000000000000,1805358061870478182629926886186979,15454974945933785054,200688
25588142,1784721731,139453929,-72373736617201004,1805357690854789931333576968324918,15454974945933785054,200688
25588144,1784721755,-63572911460,33029147569468379136,1805526926137961178008473977856690,15455028656751331879,200690
25588144,1784721755,-502705958,261204303496930897,1805528264497798468954823218119661,15455028656751331879,200690
25588144,1784721755,-411677450,213906489028845968,1805529360512871802107903620083771,15455028656751331879,200690
25588144,1784721755,-139553884,72511879515839723,1805529732049580697182603878680231,15455028656751331879,200690
25588146,1784721779,-11828038770,6145930387805322240,1805561222596572857522788772632343,15455028656751331879,200691
